item_name,Measure,Units,Grams
acorn squash,1,small,140.0
agave nectar,1,cup,350.0
all purpose flour,1,cup,120.0
all purpose flour,1,g can,0.53
all purpose flour,1,g jar,0.53
all purpose flour,1,g package,0.53
all purpose flour,1,large,0.53
all purpose flour,1,loaf,0.53
all purpose flour,1,medium,0.53
all purpose flour,1,packet,0.53
all purpose flour,1,small,0.53
allspice,1,g can,0.39
almond,1,small,1.29
almond,1,unit,1.29
almond,1,whole,1.29
almond extract,1,g package,0.87
almond flour,1,large,0.47
almond milk,1,splash,3.6
alphabet pasta,1,g can,1.0
american cheese,1,slice,20.0
apple,1,g can,182.0
apple,1,large,223.0
apple,1,loaf,0.49
apple,1,medium,182.0
apple,1,medium sized,182.0
apple,1,slice,182.0
apple,1,small,149.0
apple,1,unit,182.0
apple jelly,1,g jar,1.0
apple juice,1,g package,1.05
apple juice,1,oz,34.1
applesauce,1,g bottle,1.04
applesauce,1,g can,1.04
applesauce,1,g package,1.04
applesauce,1,large,1.03
applesauce,1,loaf,1.03
applesauce,1,medium,1.04
applesauce,1,package,1.04
apricot,1,small,35.0
apricot,1,unit,35.0
apricot nectar,1,g can,1.0
apricot preserve,1,g jar,1.0
arugula,1,bunch,10.0
asian pear,1,unit,122.0
asparagus,1,bunch,16.0
asparagus,1,stalk,15.0
avocado,1,large,136.0
avocado,1,medium,136.0
avocado,1,medium sized,136.0
avocado,1,small,136.0
avocado,1,unit,136.0
baby carrot,1,package,10.0
baby carrot,1,unit,10.0
baby spinach,1,cup,30.0
baby spinach,1,g bag,1.0
baby spinach,1,g package,1.0
baby spinach,1,leaves,1.0
bacon,1,g package,1.0
bacon,1,slice,28.0
baked beans,1,g can,1.0
baking mix,1,g package,1.0
baking powder,1,clove,0.93
baking powder,1,g bottle,0.93
baking powder,1,g box,0.93
baking powder,1,g can,0.93
baking powder,1,g jar,0.93
baking powder,1,g package,0.93
baking powder,1,large,0.93
baking powder,1,loaf,0.93
baking powder,1,medium,0.93
baking powder,1,package,0.93
baking powder,1,packet,0.93
baking powder,1,piece,0.93
baking powder,1,scoop,0.93
baking powder,1,small,0.93
baking powder,1,tablespoon,14.38
baking powder,1,teaspoon,4.0
baking soda,1,box,0.93
baking soda,1,clove,0.93
baking soda,1,g bag,0.93
baking soda,1,g bottle,0.93
baking soda,1,g can,0.93
baking soda,1,g jar,0.93
baking soda,1,g package,0.93
baking soda,1,large,0.93
baking soda,1,loaf,0.93
baking soda,1,medium,0.93
baking soda,1,package,0.93
baking soda,1,packet,0.93
baking soda,1,scoop,0.93
baking soda,1,small,0.92
baking soda,1,teaspoon,4.8
bamboo shoot,1,g can,1.0
banana,1,big,118.0
banana,1,cup,56.25
banana,1,g can,118.0
banana,1,g package,0.79
banana,1,large,136.0
banana,1,loaf,0.79
banana,1,medium,118.0
banana,1,medium size,118.0
banana,1,package,0.95
banana,1,small,101.0
banana,1,unit,118.0
banana,1,whole,118.0
banana cream pudding mix,1,g package,1.0
banana ice cream,1,scoop,66.0
barbeque sauce,1,g bottle,1.0
barbeque sauce,1,g jar,1.0
barley,1,g bag,1.0
bay leaf,1,large,0.2
bay leaf,1,medium sized,0.2
bay leaf,1,unit,0.2
bay leaf,1,whole,0.2
bean flour,1,g can,1.0
bean noodle,1,g package,1.0
beef,1,kg,1000.0
beef & vegetable soup,1,g can,1.0
beef bone,1,kg,1000.0
beef bone,1,large,114.0
beef bouillon,1,can,240.0
beef broth,1,can,435.0
beef broth,1,g can,1.0
beef gravy,1,g can,1.0
beef gravy,1,g jar,1.0
beef stock,1,g can,1.0
beefsteak tomato,1,large,182.0
beer,1,g bottle,1.0
beer,1,g can,1.0
beet root,1,medium,50.0
beet root,1,small,82.0
beet root,1,unit,50.0
belgian endive,1,head,53.0
belgian endive,1,small,40.0
bell pepper,1,large,164.0
bell pepper,1,medium,119.0
bell pepper,1,slice,149.0
bell pepper,1,small,74.0
bell pepper,1,unit,29.7
berry,1,g package,1.0
berry,1,scoop,64.0
berry,1,unit,5.0
berry,1,whole,5.0
berry preserve,1,jar,20.0
berry yogurt,1,g container,1.0
berry yogurt,1,oz,28.0
biscotti,1,unit,22.14
biscuit mix,1,g box,1.0
black bean,1,g can,1.0
black olive,1,g can,1.0
black olive,1,large,4.4
black peppercorns,1,unit,0.06
black tea,1,bag,2.0
blackberry,1,unit,6.5
blackberry jam,1,g jar,0.0
blackberry yogurt,1,g carton,1.0
blackberry yogurt,1,oz,28.0
blood orange,1,large,184.0
blueberry,1,package,0.63
