id,item_name,water,calories,calcium,carbs,cholesterol,iron,fiber,monounsaturated_fats,polyunsaturated_fats,potassium,proteins,saturated_fats,sodium,sugar,trans_fats,fats,vit_a,vit_c,vit_d,ala,found,Unnamed: 22
2,acai mixed berry juice,86.4,54.07255768,0.0,12.89422529,0.0,0.0,0.0,0.0,0.0,116.4639704,0.0,0.0,0.01039856879,12.06233979,0.0,0.0,0.0,29.9478781,0.0,0.0,,
4,acorn squash,87.78,41.42857143,30.78571428,10.56714286,0.0,0.707142857,1.464285715,0.0,0.0,173.5,0.757142857,0.0105,0.003285714286,0.0,0.0,0.05,187.5714286,10.85714286,0.0,0.0,,
5,adobo sauce,78.2791,102.1706,19.6742,10.8531,1.3633,1.7704,3.2058,1.2251,3.8866,366.6698,2.2233,0.5024,0.4212115,2.9129,0.1282,6.3025,142.9834,0.6746,0.0,0.3436,adobo sauce,
6,agave syrup,22.939999999999998,297.8571429,0.5,73.89928572,0.0,0.045,0.1,0.0,0.0,2.0,0.045,0.0,0.002,69.72928572,0.0,0.225,4.0,8.5,0.0,0.0,,
8,alfalfa sprouts,92.82000000000001,32.92857143,551.7142855,5.514285715,0.0,1.372857143,4.521428571,0.028,0.2045,39.5,3.780714286,0.0345,0.02532142857,0.1,0.0,0.0,0.0,446.4285715,4.628571429,0.0,,
9,alfredo sauce,37.539,421.4712,316.44685,4.4451,126.4893,0.3226,0.07245,10.9967,1.5998,98.57695,10.22065,25.4882,0.7481295,0.76385,0.7369,41.0138,899.1513,2.08395,0.4211,0.1569,alfredo sauce,
10,wheat bran cereal,25.8177103,318.0,50.0,64.2,0.0,12.0,17.3,0.2,1.0,540.0,3.0,0.4,0.91,18.1,0.0,1.9,0.0,35.0,2.8,0.0,,
11,all purpose flour,11.92,359.4193549,7.5,75.2517742,0.0,3.932903226,2.55967742,0.0435,0.2065,53.5,10.00370968,0.0775,0.001,0.941451613,0.0,0.49,0.0,0.0,0.0,0.0,,
12,allspice,8.459999999999999,263.0,661.0,72.12,0.0,7.06,21.6,0.66,2.36,1044.0,6.09,2.55,0.077,0.0,0.0,8.69,27.0,39.2,0.0,0.0,,
13,almonds,2.41,588.0,258.0,20.375,0.0,4.015,11.35,32.6155,12.5845,720.5,21.11,3.9865,0.2495,4.83,0.0,56.8,2.5,0.0,0.0,0.0035,almonds,
15,almond butter,1.6400000000000001,623.5,308.5,20.02,0.0,3.595,7.0,35.4095,13.0075,753.0,18.02,4.877,0.2285,4.665,0.0,57.3,0.5,0.35,0.0,0.0,,
